# ucsc	ensembl	genbank	refseq
chr1	1	CM008168.2	NC_037328.1
chrUn_NW_020190424v1	NKLS02000340.1	NKLS02000340.1	NW_020190424.1
chrUn_NW_020190425v1	NKLS02000341.1	NKLS02000341.1	NW_020190425.1
chrUn_NW_020190426v1	NKLS02000342.1	NKLS02000342.1	NW_020190426.1
chrUn_NW_020190427v1	NKLS02000343.1	NKLS02000343.1	NW_020190427.1
chrUn_NW_020190428v1	NKLS02000344.1	NKLS02000344.1	NW_020190428.1
chrUn_NW_020190429v1	NKLS02000345.1	NKLS02000345.1	NW_020190429.1
chrUn_NW_020190430v1	NKLS02000346.1	NKLS02000346.1	NW_020190430.1
chrUn_NW_020190431v1	NKLS02000347.1	NKLS02000347.1	NW_020190431.1
chrUn_NW_020190432v1	NKLS02000348.1	NKLS02000348.1	NW_020190432.1
chrUn_NW_020190433v1	NKLS02000349.1	NKLS02000349.1	NW_020190433.1
chrUn_NW_020190434v1	NKLS02000350.1	NKLS02000350.1	NW_020190434.1
chrUn_NW_020190435v1	NKLS02000351.1	NKLS02000351.1	NW_020190435.1
chrUn_NW_020190436v1	NKLS02000352.1	NKLS02000352.1	NW_020190436.1
chrUn_NW_020190437v1	NKLS02000353.1	NKLS02000353.1	NW_020190437.1
chrUn_NW_020190438v1	NKLS02000354.1	NKLS02000354.1	NW_020190438.1
chrUn_NW_020190439v1	NKLS02000355.1	NKLS02000355.1	NW_020190439.1
chrUn_NW_020190440v1	NKLS02000356.1	NKLS02000356.1	NW_020190440.1
chrUn_NW_020190441v1	NKLS02000357.1	NKLS02000357.1	NW_020190441.1
chrUn_NW_020190442v1	NKLS02000358.1	NKLS02000358.1	NW_020190442.1
chrUn_NW_020190443v1	NKLS02000359.1	NKLS02000359.1	NW_020190443.1
chrUn_NW_020190444v1	NKLS02000360.1	NKLS02000360.1	NW_020190444.1
chrUn_NW_020190445v1	NKLS02000361.1	NKLS02000361.1	NW_020190445.1
chrUn_NW_020190446v1	NKLS02000362.1	NKLS02000362.1	NW_020190446.1
chrUn_NW_020190447v1	NKLS02000363.1	NKLS02000363.1	NW_020190447.1
chrUn_NW_020190448v1	NKLS02000364.1	NKLS02000364.1	NW_020190448.1
chrUn_NW_020190449v1	NKLS02000365.1	NKLS02000365.1	NW_020190449.1
chrUn_NW_020190450v1	NKLS02000366.1	NKLS02000366.1	NW_020190450.1
chrUn_NW_020190451v1	NKLS02000367.1	NKLS02000367.1	NW_020190451.1
chrUn_NW_020190452v1	NKLS02000368.1	NKLS02000368.1	NW_020190452.1
chrUn_NW_020190453v1	NKLS02000369.1	NKLS02000369.1	NW_020190453.1
chrUn_NW_020190454v1	NKLS02000370.1	NKLS02000370.1	NW_020190454.1
chrUn_NW_020190455v1	NKLS02000371.1	NKLS02000371.1	NW_020190455.1
chrUn_NW_020190456v1	NKLS02000372.1	NKLS02000372.1	NW_020190456.1
chrUn_NW_020190457v1	NKLS02000373.1	NKLS02000373.1	NW_020190457.1
chrUn_NW_020190458v1	NKLS02000374.1	NKLS02000374.1	NW_020190458.1
chrUn_NW_020190459v1	NKLS02000375.1	NKLS02000375.1	NW_020190459.1
chrUn_NW_020190460v1	NKLS02000376.1	NKLS02000376.1	NW_020190460.1
chrUn_NW_020190461v1	NKLS02000377.1	NKLS02000377.1	NW_020190461.1
chrUn_NW_020190462v1	NKLS02000378.1	NKLS02000378.1	NW_020190462.1
chrUn_NW_020190463v1	NKLS02000379.1	NKLS02000379.1	NW_020190463.1
chrUn_NW_020190464v1	NKLS02000380.1	NKLS02000380.1	NW_020190464.1
chrUn_NW_020190465v1	NKLS02000381.1	NKLS02000381.1	NW_020190465.1
chrUn_NW_020190466v1	NKLS02000382.1	NKLS02000382.1	NW_020190466.1
chrUn_NW_020190467v1	NKLS02000383.1	NKLS02000383.1	NW_020190467.1
chrUn_NW_020190468v1	NKLS02000384.1	NKLS02000384.1	NW_020190468.1
chrUn_NW_020190469v1	NKLS02000385.1	NKLS02000385.1	NW_020190469.1
chrUn_NW_020190470v1	NKLS02000386.1	NKLS02000386.1	NW_020190470.1
chrUn_NW_020190471v1	NKLS02000387.1	NKLS02000387.1	NW_020190471.1
chrUn_NW_020190472v1	NKLS02000388.1	NKLS02000388.1	NW_020190472.1
chrUn_NW_020190473v1	NKLS02000389.1	NKLS02000389.1	NW_020190473.1
chrUn_NW_020190474v1	NKLS02000390.1	NKLS02000390.1	NW_020190474.1
chrUn_NW_020190475v1	NKLS02000391.1	NKLS02000391.1	NW_020190475.1
chrUn_NW_020190476v1	NKLS02000392.1	NKLS02000392.1	NW_020190476.1
chrUn_NW_020190477v1	NKLS02000393.1	NKLS02000393.1	NW_020190477.1
chrUn_NW_020190478v1	NKLS02000394.1	NKLS02000394.1	NW_020190478.1
chrUn_NW_020190479v1	NKLS02000395.1	NKLS02000395.1	NW_020190479.1
chrUn_NW_020190480v1	NKLS02000396.1	NKLS02000396.1	NW_020190480.1
chrUn_NW_020190481v1	NKLS02000397.1	NKLS02000397.1	NW_020190481.1
chrUn_NW_020190482v1	NKLS02000398.1	NKLS02000398.1	NW_020190482.1
chrUn_NW_020190483v1	NKLS02000399.1	NKLS02000399.1	NW_020190483.1
chrUn_NW_020190484v1	NKLS02000400.1	NKLS02000400.1	NW_020190484.1
chrUn_NW_020190485v1	NKLS02000401.1	NKLS02000401.1	NW_020190485.1
chrUn_NW_020190486v1	NKLS02000402.1	NKLS02000402.1	NW_020190486.1
chrUn_NW_020190487v1	NKLS02000403.1	NKLS02000403.1	NW_020190487.1
chrUn_NW_020190488v1	NKLS02000404.1	NKLS02000404.1	NW_020190488.1
chrUn_NW_020190489v1	NKLS02000405.1	NKLS02000405.1	NW_020190489.1
chrUn_NW_020190490v1	NKLS02000406.1	NKLS02000406.1	NW_020190490.1
chrUn_NW_020190491v1	NKLS02000407.1	NKLS02000407.1	NW_020190491.1
chrUn_NW_020190492v1	NKLS02000408.1	NKLS02000408.1	NW_020190492.1
chrUn_NW_020190493v1	NKLS02000409.1	NKLS02000409.1	NW_020190493.1
chrUn_NW_020190494v1	NKLS02000410.1	NKLS02000410.1	NW_020190494.1
chrUn_NW_020190495v1	NKLS02000411.1	NKLS02000411.1	NW_020190495.1
chrUn_NW_020190496v1	NKLS02000412.1	NKLS02000412.1	NW_020190496.1
chrUn_NW_020190497v1	NKLS02000413.1	NKLS02000413.1	NW_020190497.1
chrUn_NW_020190498v1	NKLS02000414.1	NKLS02000414.1	NW_020190498.1
chrUn_NW_020190499v1	NKLS02000415.1	NKLS02000415.1	NW_020190499.1
chrUn_NW_020190500v1	NKLS02000416.1	NKLS02000416.1	NW_020190500.1
chrUn_NW_020190501v1	NKLS02000417.1	NKLS02000417.1	NW_020190501.1
chrUn_NW_020190502v1	NKLS02000418.1	NKLS02000418.1	NW_020190502.1
chrUn_NW_020190503v1	NKLS02000419.1	NKLS02000419.1	NW_020190503.1
chrUn_NW_020190504v1	NKLS02000420.1	NKLS02000420.1	NW_020190504.1
chrUn_NW_020190505v1	NKLS02000421.1	NKLS02000421.1	NW_020190505.1
chrUn_NW_020190506v1	NKLS02000422.1	NKLS02000422.1	NW_020190506.1
chrUn_NW_020190507v1	NKLS02000423.1	NKLS02000423.1	NW_020190507.1
chrUn_NW_020190508v1	NKLS02000424.1	NKLS02000424.1	NW_020190508.1
chrUn_NW_020190509v1	NKLS02000425.1	NKLS02000425.1	NW_020190509.1
chrUn_NW_020190510v1	NKLS02000426.1	NKLS02000426.1	NW_020190510.1
chrUn_NW_020190511v1	NKLS02000427.1	NKLS02000427.1	NW_020190511.1
chrUn_NW_020190512v1	NKLS02000428.1	NKLS02000428.1	NW_020190512.1
chrUn_NW_020190513v1	NKLS02000429.1	NKLS02000429.1	NW_020190513.1
chrUn_NW_020190514v1	NKLS02000430.1	NKLS02000430.1	NW_020190514.1
chrUn_NW_020190515v1	NKLS02000431.1	NKLS02000431.1	NW_020190515.1
chrUn_NW_020190516v1	NKLS02000432.1	NKLS02000432.1	NW_020190516.1
chrUn_NW_020190517v1	NKLS02000433.1	NKLS02000433.1	NW_020190517.1
chrUn_NW_020190518v1	NKLS02000434.1	NKLS02000434.1	NW_020190518.1
chrUn_NW_020190519v1	NKLS02000435.1	NKLS02000435.1	NW_020190519.1
chrUn_NW_020190520v1	NKLS02000436.1	NKLS02000436.1	NW_020190520.1
chrUn_NW_020190521v1	NKLS02000437.1	NKLS02000437.1	NW_020190521.1
chrUn_NW_020190522v1	NKLS02000438.1	NKLS02000438.1	NW_020190522.1
chrUn_NW_020190523v1	NKLS02000439.1	NKLS02000439.1	NW_020190523.1
chrUn_NW_020190524v1	NKLS02000440.1	NKLS02000440.1	NW_020190524.1
chrUn_NW_020190525v1	NKLS02000441.1	NKLS02000441.1	NW_020190525.1
chrUn_NW_020190526v1	NKLS02000442.1	NKLS02000442.1	NW_020190526.1
chrUn_NW_020190527v1	NKLS02000443.1	NKLS02000443.1	NW_020190527.1
chrUn_NW_020190528v1	NKLS02000444.1	NKLS02000444.1	NW_020190528.1
chrUn_NW_020190529v1	NKLS02000445.1	NKLS02000445.1	NW_020190529.1
chrUn_NW_020190530v1	NKLS02000446.1	NKLS02000446.1	NW_020190530.1
chrUn_NW_020190531v1	NKLS02000447.1	NKLS02000447.1	NW_020190531.1
chrUn_NW_020190532v1	NKLS02000448.1	NKLS02000448.1	NW_020190532.1
chrUn_NW_020190533v1	NKLS02000449.1	NKLS02000449.1	NW_020190533.1
chrUn_NW_020190534v1	NKLS02000450.1	NKLS02000450.1	NW_020190534.1
chrUn_NW_020190535v1	NKLS02000451.1	NKLS02000451.1	NW_020190535.1
chrUn_NW_020190536v1	NKLS02000452.1	NKLS02000452.1	NW_020190536.1
chrUn_NW_020190537v1	NKLS02000453.1	NKLS02000453.1	NW_020190537.1
chrUn_NW_020190538v1	NKLS02000454.1	NKLS02000454.1	NW_020190538.1
chrUn_NW_020190539v1	NKLS02000455.1	NKLS02000455.1	NW_020190539.1
chrUn_NW_020190540v1	NKLS02000456.1	NKLS02000456.1	NW_020190540.1
chrUn_NW_020190541v1	NKLS02000457.1	NKLS02000457.1	NW_020190541.1
chrUn_NW_020190542v1	NKLS02000458.1	NKLS02000458.1	NW_020190542.1
chrUn_NW_020190543v1	NKLS02000459.1	NKLS02000459.1	NW_020190543.1
chrUn_NW_020190544v1	NKLS02000460.1	NKLS02000460.1	NW_020190544.1
chrUn_NW_020190545v1	NKLS02000461.1	NKLS02000461.1	NW_020190545.1
chrUn_NW_020190546v1	NKLS02000462.1	NKLS02000462.1	NW_020190546.1
chrUn_NW_020190547v1	NKLS02000463.1	NKLS02000463.1	NW_020190547.1
chrUn_NW_020190548v1	NKLS02000464.1	NKLS02000464.1	NW_020190548.1
chrUn_NW_020190549v1	NKLS02000465.1	NKLS02000465.1	NW_020190549.1
chrUn_NW_020190550v1	NKLS02000466.1	NKLS02000466.1	NW_020190550.1
chrUn_NW_020190551v1	NKLS02000467.1	NKLS02000467.1	NW_020190551.1
chrUn_NW_020190552v1	NKLS02000468.1	NKLS02000468.1	NW_020190552.1
chrUn_NW_020190553v1	NKLS02000469.1	NKLS02000469.1	NW_020190553.1
chrUn_NW_020190554v1	NKLS02000470.1	NKLS02000470.1	NW_020190554.1
chrUn_NW_020190555v1	NKLS02000471.1	NKLS02000471.1	NW_020190555.1
chrUn_NW_020190556v1	NKLS02000472.1	NKLS02000472.1	NW_020190556.1
chrUn_NW_020190557v1	NKLS02000473.1	NKLS02000473.1	NW_020190557.1
chrUn_NW_020190558v1	NKLS02000474.1	NKLS02000474.1	NW_020190558.1
chrUn_NW_020190559v1	NKLS02000475.1	NKLS02000475.1	NW_020190559.1
chrUn_NW_020190560v1	NKLS02000476.1	NKLS02000476.1	NW_020190560.1
chrUn_NW_020190561v1	NKLS02000477.1	NKLS02000477.1	NW_020190561.1
chrUn_NW_020190562v1	NKLS02000478.1	NKLS02000478.1	NW_020190562.1
chrUn_NW_020190563v1	NKLS02000479.1	NKLS02000479.1	NW_020190563.1
chrUn_NW_020190564v1	NKLS02000480.1	NKLS02000480.1	NW_020190564.1
chrUn_NW_020190565v1	NKLS02000481.1	NKLS02000481.1	NW_020190565.1
chrUn_NW_020190566v1	NKLS02000482.1	NKLS02000482.1	NW_020190566.1
chrUn_NW_020190567v1	NKLS02000483.1	NKLS02000483.1	NW_020190567.1
chrUn_NW_020190568v1	NKLS02000484.1	NKLS02000484.1	NW_020190568.1
chrUn_NW_020190569v1	NKLS02000485.1	NKLS02000485.1	NW_020190569.1
chrUn_NW_020190570v1	NKLS02000486.1	NKLS02000486.1	NW_020190570.1
chrUn_NW_020190571v1	NKLS02000487.1	NKLS02000487.1	NW_020190571.1
chrUn_NW_020190572v1	NKLS02000488.1	NKLS02000488.1	NW_020190572.1
chrUn_NW_020190573v1	NKLS02000489.1	NKLS02000489.1	NW_020190573.1
chrUn_NW_020190574v1	NKLS02000490.1	NKLS02000490.1	NW_020190574.1
chrUn_NW_020190575v1	NKLS02000491.1	NKLS02000491.1	NW_020190575.1
chrUn_NW_020190576v1	NKLS02000492.1	NKLS02000492.1	NW_020190576.1
chrUn_NW_020190577v1	NKLS02000493.1	NKLS02000493.1	NW_020190577.1
chrUn_NW_020190578v1	NKLS02000494.1	NKLS02000494.1	NW_020190578.1
chrUn_NW_020190579v1	NKLS02000495.1	NKLS02000495.1	NW_020190579.1
chrUn_NW_020190580v1	NKLS02000496.1	NKLS02000496.1	NW_020190580.1
chrUn_NW_020190581v1	NKLS02000497.1	NKLS02000497.1	NW_020190581.1
chrUn_NW_020190582v1	NKLS02000498.1	NKLS02000498.1	NW_020190582.1
chrUn_NW_020190583v1	NKLS02000499.1	NKLS02000499.1	NW_020190583.1
chrUn_NW_020190584v1	NKLS02000500.1	NKLS02000500.1	NW_020190584.1
chrUn_NW_020190585v1	NKLS02000501.1	NKLS02000501.1	NW_020190585.1
chrUn_NW_020190586v1	NKLS02000502.1	NKLS02000502.1	NW_020190586.1
chrUn_NW_020190587v1	NKLS02000503.1	NKLS02000503.1	NW_020190587.1
chrUn_NW_020190588v1	NKLS02000504.1	NKLS02000504.1	NW_020190588.1
chrUn_NW_020190589v1	NKLS02000505.1	NKLS02000505.1	NW_020190589.1
chrUn_NW_020190590v1	NKLS02000506.1	NKLS02000506.1	NW_020190590.1
chrUn_NW_020190591v1	NKLS02000507.1	NKLS02000507.1	NW_020190591.1
chrUn_NW_020190592v1	NKLS02000508.1	NKLS02000508.1	NW_020190592.1
chrUn_NW_020190593v1	NKLS02000509.1	NKLS02000509.1	NW_020190593.1
chrUn_NW_020190594v1	NKLS02000510.1	NKLS02000510.1	NW_020190594.1
chrUn_NW_020190595v1	NKLS02000511.1	NKLS02000511.1	NW_020190595.1
chrUn_NW_020190596v1	NKLS02000512.1	NKLS02000512.1	NW_020190596.1
chrUn_NW_020190597v1	NKLS02000513.1	NKLS02000513.1	NW_020190597.1
chrUn_NW_020190598v1	NKLS02000514.1	NKLS02000514.1	NW_020190598.1
chrUn_NW_020190599v1	NKLS02000515.1	NKLS02000515.1	NW_020190599.1
chrUn_NW_020190600v1	NKLS02000516.1	NKLS02000516.1	NW_020190600.1
chrUn_NW_020190601v1	NKLS02000517.1	NKLS02000517.1	NW_020190601.1
chrUn_NW_020190602v1	NKLS02000518.1	NKLS02000518.1	NW_020190602.1
chrUn_NW_020190603v1	NKLS02000519.1	NKLS02000519.1	NW_020190603.1
chrUn_NW_020190604v1	NKLS02000520.1	NKLS02000520.1	NW_020190604.1
chrUn_NW_020190605v1	NKLS02000521.1	NKLS02000521.1	NW_020190605.1
chrUn_NW_020190606v1	NKLS02000522.1	NKLS02000522.1	NW_020190606.1
chrUn_NW_020190607v1	NKLS02000523.1	NKLS02000523.1	NW_020190607.1
chrUn_NW_020190608v1	NKLS02000524.1	NKLS02000524.1	NW_020190608.1
chrUn_NW_020190609v1	NKLS02000525.1	NKLS02000525.1	NW_020190609.1
chrUn_NW_020190610v1	NKLS02000526.1	NKLS02000526.1	NW_020190610.1
chrUn_NW_020190611v1	NKLS02000527.1	NKLS02000527.1	NW_020190611.1
chrUn_NW_020190612v1	NKLS02000528.1	NKLS02000528.1	NW_020190612.1
chrUn_NW_020190613v1	NKLS02000529.1	NKLS02000529.1	NW_020190613.1
chrUn_NW_020190614v1	NKLS02000530.1	NKLS02000530.1	NW_020190614.1
chrUn_NW_020190615v1	NKLS02000531.1	NKLS02000531.1	NW_020190615.1
chrUn_NW_020190616v1	NKLS02000532.1	NKLS02000532.1	NW_020190616.1
chrUn_NW_020190617v1	NKLS02000533.1	NKLS02000533.1	NW_020190617.1
chrUn_NW_020190618v1	NKLS02000534.1	NKLS02000534.1	NW_020190618.1
chrUn_NW_020190619v1	NKLS02000535.1	NKLS02000535.1	NW_020190619.1
chrUn_NW_020190620v1	NKLS02000536.1	NKLS02000536.1	NW_020190620.1
chrUn_NW_020190621v1	NKLS02000537.1	NKLS02000537.1	NW_020190621.1
chrUn_NW_020190622v1	NKLS02000538.1	NKLS02000538.1	NW_020190622.1
chrUn_NW_020190623v1	NKLS02000539.1	NKLS02000539.1	NW_020190623.1
chrUn_NW_020190624v1	NKLS02000540.1	NKLS02000540.1	NW_020190624.1
chrUn_NW_020190625v1	NKLS02000541.1	NKLS02000541.1	NW_020190625.1
chrUn_NW_020190626v1	NKLS02000542.1	NKLS02000542.1	NW_020190626.1
chrUn_NW_020190627v1	NKLS02000543.1	NKLS02000543.1	NW_020190627.1
chrUn_NW_020190628v1	NKLS02000544.1	NKLS02000544.1	NW_020190628.1
chrUn_NW_020190629v1	NKLS02000545.1	NKLS02000545.1	NW_020190629.1
chrUn_NW_020190630v1	NKLS02000546.1	NKLS02000546.1	NW_020190630.1
chrUn_NW_020190631v1	NKLS02000547.1	NKLS02000547.1	NW_020190631.1
chrUn_NW_020190632v1	NKLS02000548.1	NKLS02000548.1	NW_020190632.1
chrUn_NW_020190633v1	NKLS02000549.1	NKLS02000549.1	NW_020190633.1
chrUn_NW_020190634v1	NKLS02000550.1	NKLS02000550.1	NW_020190634.1
chrUn_NW_020190635v1	NKLS02000551.1	NKLS02000551.1	NW_020190635.1
chrUn_NW_020190636v1	NKLS02000552.1	NKLS02000552.1	NW_020190636.1
chrUn_NW_020190637v1	NKLS02000553.1	NKLS02000553.1	NW_020190637.1
chrUn_NW_020190638v1	NKLS02000554.1	NKLS02000554.1	NW_020190638.1
chrUn_NW_020190639v1	NKLS02000555.1	NKLS02000555.1	NW_020190639.1
chrUn_NW_020190640v1	NKLS02000556.1	NKLS02000556.1	NW_020190640.1
chrUn_NW_020190641v1	NKLS02000557.1	NKLS02000557.1	NW_020190641.1
chrUn_NW_020190642v1	NKLS02000558.1	NKLS02000558.1	NW_020190642.1
chrUn_NW_020190643v1	NKLS02000559.1	NKLS02000559.1	NW_020190643.1
chrUn_NW_020190644v1	NKLS02000560.1	NKLS02000560.1	NW_020190644.1
chrUn_NW_020190645v1	NKLS02000561.1	NKLS02000561.1	NW_020190645.1
chrUn_NW_020190646v1	NKLS02000562.1	NKLS02000562.1	NW_020190646.1
chrUn_NW_020190647v1	NKLS02000563.1	NKLS02000563.1	NW_020190647.1
chrUn_NW_020190648v1	NKLS02000564.1	NKLS02000564.1	NW_020190648.1
chrUn_NW_020190649v1	NKLS02000565.1	NKLS02000565.1	NW_020190649.1
chrUn_NW_020190650v1	NKLS02000566.1	NKLS02000566.1	NW_020190650.1
chrUn_NW_020190651v1	NKLS02000567.1	NKLS02000567.1	NW_020190651.1
chrUn_NW_020190652v1	NKLS02000568.1	NKLS02000568.1	NW_020190652.1
chrUn_NW_020190653v1	NKLS02000569.1	NKLS02000569.1	NW_020190653.1
chrUn_NW_020190654v1	NKLS02000570.1	NKLS02000570.1	NW_020190654.1
chrUn_NW_020190655v1	NKLS02000571.1	NKLS02000571.1	NW_020190655.1
chrUn_NW_020190656v1	NKLS02000572.1	NKLS02000572.1	NW_020190656.1
chrUn_NW_020190657v1	NKLS02000573.1	NKLS02000573.1	NW_020190657.1
chrUn_NW_020190658v1	NKLS02000574.1	NKLS02000574.1	NW_020190658.1
chrUn_NW_020190659v1	NKLS02000575.1	NKLS02000575.1	NW_020190659.1
chrUn_NW_020190660v1	NKLS02000576.1	NKLS02000576.1	NW_020190660.1
chrUn_NW_020190661v1	NKLS02000577.1	NKLS02000577.1	NW_020190661.1
chrUn_NW_020190662v1	NKLS02000578.1	NKLS02000578.1	NW_020190662.1
chrUn_NW_020190663v1	NKLS02000579.1	NKLS02000579.1	NW_020190663.1
chrUn_NW_020190664v1	NKLS02000580.1	NKLS02000580.1	NW_020190664.1
chrUn_NW_020190665v1	NKLS02000581.1	NKLS02000581.1	NW_020190665.1
chrUn_NW_020190666v1	NKLS02000582.1	NKLS02000582.1	NW_020190666.1
chrUn_NW_020190667v1	NKLS02000583.1	NKLS02000583.1	NW_020190667.1
chrUn_NW_020190668v1	NKLS02000584.1	NKLS02000584.1	NW_020190668.1
chrUn_NW_020190669v1	NKLS02000585.1	NKLS02000585.1	NW_020190669.1
chrUn_NW_020190670v1	NKLS02000586.1	NKLS02000586.1	NW_020190670.1
chrUn_NW_020190671v1	NKLS02000587.1	NKLS02000587.1	NW_020190671.1
chrUn_NW_020190672v1	NKLS02000588.1	NKLS02000588.1	NW_020190672.1
chrUn_NW_020190673v1	NKLS02000589.1	NKLS02000589.1	NW_020190673.1
chrUn_NW_020190674v1	NKLS02000590.1	NKLS02000590.1	NW_020190674.1
chrUn_NW_020190675v1	NKLS02000591.1	NKLS02000591.1	NW_020190675.1
chrUn_NW_020190676v1	NKLS02000592.1	NKLS02000592.1	NW_020190676.1
chrUn_NW_020190677v1	NKLS02000593.1	NKLS02000593.1	NW_020190677.1
chrUn_NW_020190678v1	NKLS02000594.1	NKLS02000594.1	NW_020190678.1
chrUn_NW_020190679v1	NKLS02000595.1	NKLS02000595.1	NW_020190679.1
chrUn_NW_020190680v1	NKLS02000596.1	NKLS02000596.1	NW_020190680.1
chrUn_NW_020190681v1	NKLS02000597.1	NKLS02000597.1	NW_020190681.1
chrUn_NW_020190682v1	NKLS02000598.1	NKLS02000598.1	NW_020190682.1
chrUn_NW_020190683v1	NKLS02000599.1	NKLS02000599.1	NW_020190683.1
chrUn_NW_020190684v1	NKLS02000600.1	NKLS02000600.1	NW_020190684.1
chrUn_NW_020190685v1	NKLS02000601.1	NKLS02000601.1	NW_020190685.1
chrUn_NW_020190686v1	NKLS02000602.1	NKLS02000602.1	NW_020190686.1
chrUn_NW_020190687v1	NKLS02000603.1	NKLS02000603.1	NW_020190687.1
chrUn_NW_020190688v1	NKLS02000604.1	NKLS02000604.1	NW_020190688.1
chrUn_NW_020190689v1	NKLS02000605.1	NKLS02000605.1	NW_020190689.1
chrUn_NW_020190690v1	NKLS02000606.1	NKLS02000606.1	NW_020190690.1
chrUn_NW_020190691v1	NKLS02000607.1	NKLS02000607.1	NW_020190691.1
chrUn_NW_020190692v1	NKLS02000608.1	NKLS02000608.1	NW_020190692.1
chrUn_NW_020190693v1	NKLS02000609.1	NKLS02000609.1	NW_020190693.1
chrUn_NW_020190694v1	NKLS02000610.1	NKLS02000610.1	NW_020190694.1
chrUn_NW_020190695v1	NKLS02000611.1	NKLS02000611.1	NW_020190695.1
chrUn_NW_020190696v1	NKLS02000612.1	NKLS02000612.1	NW_020190696.1
chrUn_NW_020190697v1	NKLS02000613.1	NKLS02000613.1	NW_020190697.1
chrUn_NW_020190698v1	NKLS02000614.1	NKLS02000614.1	NW_020190698.1
chrUn_NW_020190699v1	NKLS02000615.1	NKLS02000615.1	NW_020190699.1
chrUn_NW_020190700v1	NKLS02000616.1	NKLS02000616.1	NW_020190700.1
chrUn_NW_020190701v1	NKLS02000617.1	NKLS02000617.1	NW_020190701.1
chrUn_NW_020190702v1	NKLS02000618.1	NKLS02000618.1	NW_020190702.1
chrUn_NW_020190703v1	NKLS02000619.1	NKLS02000619.1	NW_020190703.1
chrUn_NW_020190704v1	NKLS02000620.1	NKLS02000620.1	NW_020190704.1
chrUn_NW_020190705v1	NKLS02000621.1	NKLS02000621.1	NW_020190705.1
chrUn_NW_020190706v1	NKLS02000622.1	NKLS02000622.1	NW_020190706.1
chrUn_NW_020190707v1	NKLS02000623.1	NKLS02000623.1	NW_020190707.1
chrUn_NW_020190708v1	NKLS02000624.1	NKLS02000624.1	NW_020190708.1
chrUn_NW_020190709v1	NKLS02000625.1	NKLS02000625.1	NW_020190709.1
chrUn_NW_020190710v1	NKLS02000626.1	NKLS02000626.1	NW_020190710.1
chrUn_NW_020190711v1	NKLS02000627.1	NKLS02000627.1	NW_020190711.1
chrUn_NW_020190712v1	NKLS02000628.1	NKLS02000628.1	NW_020190712.1
chrUn_NW_020190713v1	NKLS02000629.1	NKLS02000629.1	NW_020190713.1
chrUn_NW_020190714v1	NKLS02000630.1	NKLS02000630.1	NW_020190714.1
chrUn_NW_020190715v1	NKLS02000631.1	NKLS02000631.1	NW_020190715.1
chrUn_NW_020190716v1	NKLS02000632.1	NKLS02000632.1	NW_020190716.1
chrUn_NW_020190717v1	NKLS02000633.1	NKLS02000633.1	NW_020190717.1
chrUn_NW_020190718v1	NKLS02000634.1	NKLS02000634.1	NW_020190718.1
chrUn_NW_020190719v1	NKLS02000635.1	NKLS02000635.1	NW_020190719.1
chrUn_NW_020190720v1	NKLS02000636.1	NKLS02000636.1	NW_020190720.1
chrUn_NW_020190721v1	NKLS02000637.1	NKLS02000637.1	NW_020190721.1
chrUn_NW_020190722v1	NKLS02000638.1	NKLS02000638.1	NW_020190722.1
chrUn_NW_020190723v1	NKLS02000639.1	NKLS02000639.1	NW_020190723.1
chrUn_NW_020190724v1	NKLS02000640.1	NKLS02000640.1	NW_020190724.1
chrUn_NW_020190725v1	NKLS02000641.1	NKLS02000641.1	NW_020190725.1
chrUn_NW_020190726v1	NKLS02000642.1	NKLS02000642.1	NW_020190726.1
chrUn_NW_020190727v1	NKLS02000643.1	NKLS02000643.1	NW_020190727.1
chrUn_NW_020190728v1	NKLS02000644.1	NKLS02000644.1	NW_020190728.1
chrUn_NW_020190729v1	NKLS02000645.1	NKLS02000645.1	NW_020190729.1
chrUn_NW_020190730v1	NKLS02000646.1	NKLS02000646.1	NW_020190730.1
chrUn_NW_020190731v1	NKLS02000647.1	NKLS02000647.1	NW_020190731.1
chrUn_NW_020190732v1	NKLS02000648.1	NKLS02000648.1	NW_020190732.1
chrUn_NW_020190733v1	NKLS02000649.1	NKLS02000649.1	NW_020190733.1
chrUn_NW_020190734v1	NKLS02000650.1	NKLS02000650.1	NW_020190734.1
chrUn_NW_020190735v1	NKLS02000651.1	NKLS02000651.1	NW_020190735.1
chrUn_NW_020190736v1	NKLS02000652.1	NKLS02000652.1	NW_020190736.1
chrUn_NW_020190737v1	NKLS02000653.1	NKLS02000653.1	NW_020190737.1
chrUn_NW_020190738v1	NKLS02000654.1	NKLS02000654.1	NW_020190738.1
chrUn_NW_020190739v1	NKLS02000655.1	NKLS02000655.1	NW_020190739.1
chrUn_NW_020190740v1	NKLS02000656.1	NKLS02000656.1	NW_020190740.1
chrUn_NW_020190741v1	NKLS02000657.1	NKLS02000657.1	NW_020190741.1
chrUn_NW_020190742v1	NKLS02000658.1	NKLS02000658.1	NW_020190742.1
chrUn_NW_020190743v1	NKLS02000659.1	NKLS02000659.1	NW_020190743.1
chrUn_NW_020190744v1	NKLS02000660.1	NKLS02000660.1	NW_020190744.1
chrUn_NW_020190745v1	NKLS02000661.1	NKLS02000661.1	NW_020190745.1
chrUn_NW_020190746v1	NKLS02000662.1	NKLS02000662.1	NW_020190746.1
chrUn_NW_020190747v1	NKLS02000663.1	NKLS02000663.1	NW_020190747.1
